"Employee Key","WWI Employee ID","Employee","Is Salesperson","Birthdate"
"782","8","Anthony Grosse","True","1978-12-02"
"783","4","Isabella Rupp","False","1973-02-13"
"784","8","Anthony Grosse","True","1996-12-08"
"785","8","Anthony Grosse","True","1991-02-11"
"786","10","Stella Rosenhain","False","1963-11-05"
"787","13","Hudson Hollinworth","True","1962-05-18"
"788","10","Stella Rosenhain","False","1963-12-21"
"789","13","Hudson Hollinworth","True","1970-11-01"
"790","8","Anthony Grosse","True","1964-11-27"
"791","13","Hudson Hollinworth","True","1990-04-29"
"792","4","Isabella Rupp","False","1961-07-09"
"793","13","Hudson Hollinworth","True","1967-05-10"
"794","8","Anthony Grosse","True","1974-10-24"
"795","8","Anthony Grosse","True","1978-09-29"
"796","10","Stella Rosenhain","False","1997-08-08"
"797","10","Stella Rosenhain","False","1987-01-28"
"798","8","Anthony Grosse","True","1994-07-26"
"799","10","Stella Rosenhain","False","1962-03-20"
"800","8","Anthony Grosse","True","1994-02-23"
"801","10","Stella Rosenhain","False","1971-09-10"
"802","10","Stella Rosenhain","False","1967-02-25"
"803","4","Isabella Rupp","False","1962-01-28"
"804","13","Hudson Hollinworth","True","1969-09-08"
"805","4","Isabella Rupp","False","1963-01-30"
"806","13","Hudson Hollinworth","True","1963-06-30"
"807","4","Isabella Rupp","False","1992-07-07"
"808","13","Hudson Hollinworth","True","1968-06-25"
"809","8","Anthony Grosse","True","1964-01-27"
"810","13","Hudson Hollinworth","True","1984-04-19"
"811","13","Hudson Hollinworth","True","1992-02-24"
"812","10","Stella Rosenhain","False","1976-02-11"
"813","13","Hudson Hollinworth","True","1963-06-24"
"814","10","Stella Rosenhain","False","1965-07-26"
"815","8","Anthony Grosse","True","1964-04-11"
"816","4","Isabella Rupp","False","1982-03-30"
"817","8","Anthony Grosse","True","1981-04-24"
"818","10","Stella Rosenhain","False","1988-03-27"
"819","4","Isabella Rupp","False","1969-05-07"
"820","13","Hudson Hollinworth","True","1967-05-15"
"821","8","Anthony Grosse","True","1988-04-25"
"822","10","Stella Rosenhain","False","1992-05-09"
"823","8","Anthony Grosse","True","1963-06-27"
"824","8","Anthony Grosse","True","1966-12-01"
"825","4","Isabella Rupp","False","1965-03-16"
"826","10","Stella Rosenhain","False","1964-03-25"
"827","10","Stella Rosenhain","False","1963-10-14"
"828","13","Hudson Hollinworth","True","1966-05-06"
"829","13","Hudson Hollinworth","True","1986-04-01"
"830","8","Anthony Grosse","True","1968-05-26"
"831","14","Lily Code","True","1979-02-13"
"832","11","Ethan Onslow","False","1962-04-04"
"833","20","Jack Potter","True","1958-11-06"
"834","17","Piper Koch","False","1981-05-02"
"835","3","Hudson Onslow","True","1966-04-04"
"836","6","Sophia Hinton","True","1978-08-09"
"837","12","Henry Forlonge","False","1963-07-19"
"838","2","Kayla Woodcock","True","1967-07-30"
"839","18","Katie Darwin","False","1972-10-23"
"840","9","Alica Fatnowna","False","1993-10-24"
"841","5","Eva Muirden","False","1993-11-26"
"842","16","Archer Lamble","True","1985-08-21"
"843","14","Lily Code","True","1993-01-15"
"844","11","Ethan Onslow","False","1981-11-06"
"845","20","Jack Potter","True","1972-07-12"
"846","14","Lily Code","True","1965-04-03"
"847","17","Piper Koch","False","1998-01-10"
"848","11","Ethan Onslow","False","1993-08-20"
"849","11","Ethan Onslow","False","1977-09-11"
"850","3","Hudson Onslow","True","1991-10-26"
"851","20","Jack Potter","True","1982-08-04"
"852","6","Sophia Hinton","True","1994-01-27"
"853","12","Henry Forlonge","False","1989-08-12"
"854","14","Lily Code","True","1975-01-10"
"855","14","Lily Code","True","1992-02-11"
"856","3","Hudson Onslow","True","1995-10-19"
"857","6","Sophia Hinton","True","1978-09-23"
"858","2","Kayla Woodcock","True","1974-11-08"
"859","14","Lily Code","True","1992-04-20"
"860","14","Lily Code","True","1972-08-18"
"861","17","Piper Koch","False","1985-09-02"
"862","14","Lily Code","True","1973-02-09"
"863","2","Kayla Woodcock","True","1963-09-29"
"864","11","Ethan Onslow","False","1995-07-08"
"865","6","Sophia Hinton","True","1982-08-11"
"866","12","Henry Forlonge","False","1967-12-20"
"867","14","Lily Code","True","1963-11-18"
"868","17","Piper Koch","False","1997-10-12"
"869","14","Lily Code","True","1976-01-16"
"870","11","Ethan Onslow","False","1997-04-04"
"871","3","Hudson Onslow","True","1985-07-17"
"872","2","Kayla Woodcock","True","1959-10-21"
"873","18","Katie Darwin","False","1962-02-06"
"874","14","Lily Code","True","1974-10-05"
"875","11","Ethan Onslow","False","1974-08-15"
"876","6","Sophia Hinton","True","1981-10-18"
"877","3","Hudson Onslow","True","1993-03-09"
"878","9","Alica Fatnowna","False","1967-03-05"
"879","6","Sophia Hinton","True","1985-11-11"
"880","17","Piper Koch","False","1977-05-07"
"881","3","Hudson Onslow","True","1995-03-07"
"882","20","Jack Potter","True","1975-11-05"
"883","3","Hudson Onslow","True","1966-11-25"
"884","17","Piper Koch","False","1993-04-17"
"885","9","Alica Fatnowna","False","1971-06-29"
"886","12","Henry Forlonge","False","1967-05-20"
"887","2","Kayla Woodcock","True","1967-07-03"
"888","18","Katie Darwin","False","1988-04-01"
"889","9","Alica Fatnowna","False","1977-04-04"
"890","14","Lily Code","True","1981-06-24"
"891","18","Katie Darwin","False","1967-07-19"
"892","14","Lily Code","True","1960-07-13"
"893","6","Sophia Hinton","True","1965-12-22"
"894","9","Alica Fatnowna","False","1978-06-30"
"895","12","Henry Forlonge","False","1992-05-04"
"896","9","Alica Fatnowna","False","1991-05-29"
"897","20","Jack Potter","True","1992-07-29"
"898","20","Jack Potter","True","1993-12-18"
"899","9","Alica Fatnowna","False","1980-04-03"
"900","14","Lily Code","True","1995-11-03"
"901","2","Kayla Woodcock","True","1965-07-18"
"902","20","Jack Potter","True","1967-03-14"
"903","3","Hudson Onslow","True","1996-01-21"
"904","17","Piper Koch","False","1979-12-05"
"905","17","Piper Koch","False","1968-01-09"
"906","11","Ethan Onslow","False","1990-12-18"
"907","20","Jack Potter","True","1991-04-17"
"908","20","Jack Potter","True","1976-02-27"
"909","14","Lily Code","True","1997-08-13"
"910","11","Ethan Onslow","False","1992-08-02"
"911","6","Sophia Hinton","True","1985-11-08"
"912","3","Hudson Onslow","True","1989-06-09"
"913","11","Ethan Onslow","False","1977-10-23"
"914","11","Ethan Onslow","False","1983-01-16"
"915","6","Sophia Hinton","True","1979-07-08"
"916","3","Hudson Onslow","True","1961-02-16"
"917","3","Hudson Onslow","True","1972-07-21"
"918","11","Ethan Onslow","False","1985-09-30"
"919","11","Ethan Onslow","False","1969-10-28"
"920","20","Jack Potter","True","1973-12-03"
"921","9","Alica Fatnowna","False","1961-04-07"
"922","2","Kayla Woodcock","True","1978-06-13"
"923","14","Lily Code","True","1964-05-16"
"924","20","Jack Potter","True","1994-11-21"
"925","18","Katie Darwin","False","1993-05-13"
"926","17","Piper Koch","False","1965-12-23"
"927","16","Archer Lamble","True","1965-09-15"
"928","14","Lily Code","True","1976-10-03"
"929","12","Henry Forlonge","False","1997-06-04"
"930","11","Ethan Onslow","False","1994-08-18"
"931","9","Alica Fatnowna","False","1994-03-04"
"932","6","Sophia Hinton","True","1992-09-06"
"933","5","Eva Muirden","False","1991-12-10"
"934","3","Hudson Onslow","True","1976-04-03"
"935","2","Kayla Woodcock","True","1960-12-27"
"936","17","Piper Koch","False","1987-12-24"
"937","11","Ethan Onslow","False","1990-12-15"
"938","2","Kayla Woodcock","True","1966-09-21"
"939","9","Alica Fatnowna","False","1979-01-09"
"940","14","Lily Code","True","1971-06-25"
"941","12","Henry Forlonge","False","1966-12-21"
"942","6","Sophia Hinton","True","1992-09-21"
"943","20","Jack Potter","True","1993-04-29"
"944","3","Hudson Onslow","True","1971-10-04"
"945","5","Eva Muirden","False","1963-06-09"
"946","16","Archer Lamble","True","1984-09-05"
"947","18","Katie Darwin","False","1962-05-24"
"948","17","Piper Koch","False","1961-09-08"
"949","11","Ethan Onslow","False","1973-10-18"
"950","2","Kayla Woodcock","True","1991-12-11"
"951","9","Alica Fatnowna","False","1963-10-19"
"952","17","Piper Koch","False","1988-11-12"
"953","14","Lily Code","True","1996-10-16"
"954","2","Kayla Woodcock","True","1977-01-05"
"955","9","Alica Fatnowna","False","1993-10-14"
"956","12","Henry Forlonge","False","1965-09-14"
"957","6","Sophia Hinton","True","1981-01-13"
"958","6","Sophia Hinton","True","1975-04-03"
"959","14","Lily Code","True","1967-07-11"
"960","17","Piper Koch","False","1980-01-27"
"961","14","Lily Code","True","1984-08-05"
"962","6","Sophia Hinton","True","1967-11-19"
"963","20","Jack Potter","True","1979-05-16"
"964","20","Jack Potter","True","1978-08-05"
"965","2","Kayla Woodcock","True","1968-05-12"
"966","3","Hudson Onslow","True","1963-07-01"
"967","11","Ethan Onslow","False","1992-09-10"
"968","12","Henry Forlonge","False","1961-08-03"
"969","3","Hudson Onslow","True","1993-10-18"
